text,label,channel,language,source
Sample Cyber Office says an inquiry has been opened using your identity details. Stay connected while case reference 1 is reviewed.,authority_impersonation_scam,call,en,synthetic_reviewed_realworld_pattern
A compliance review mentions your record. Do not disconnect until the Sample Cyber Office completes verification case 2.,authority_impersonation_scam,call,en,synthetic_reviewed_realworld_pattern
Your identity document appears in a complaint record. Remain on this call while the fictional verification process 3 is checked.,authority_impersonation_scam,call,en,synthetic_reviewed_realworld_pattern
Test Telecom claims your number is connected to a report. Keep the call active during review reference 4.,authority_impersonation_scam,call,en,synthetic_reviewed_realworld_pattern
Sample Cyber Office says an inquiry has been opened using your identity details. Stay connected while case reference 5 is reviewed.,authority_impersonation_scam,call,en,synthetic_reviewed_realworld_pattern
A compliance review mentions your record. Do not disconnect until the Sample Cyber Office completes verification case 6.,authority_impersonation_scam,call,en,synthetic_reviewed_realworld_pattern
Your identity document appears in a complaint record. Remain on this call while the fictional verification process 7 is checked.,authority_impersonation_scam,call,en,synthetic_reviewed_realworld_pattern
Test Telecom claims your number is connected to a report. Keep the call active during review reference 8.,authority_impersonation_scam,call,en,synthetic_reviewed_realworld_pattern
Sample Cyber Office says an inquiry has been opened using your identity details. Stay connected while case reference 9 is reviewed.,authority_impersonation_scam,call,en,synthetic_reviewed_realworld_pattern
A compliance review mentions your record. Do not disconnect until the Sample Cyber Office completes verification case 10.,authority_impersonation_scam,call,en,synthetic_reviewed_realworld_pattern
Your identity document appears in a complaint record. Remain on this call while the fictional verification process 11 is checked.,authority_impersonation_scam,call,en,synthetic_reviewed_realworld_pattern
Test Telecom claims your number is connected to a report. Keep the call active during review reference 12.,authority_impersonation_scam,call,en,synthetic_reviewed_realworld_pattern
Sample Cyber Office says an inquiry has been opened using your identity details. Stay connected while case reference 13 is reviewed.,authority_impersonation_scam,call,en,synthetic_reviewed_realworld_pattern
A compliance review mentions your record. Do not disconnect until the Sample Cyber Office completes verification case 14.,authority_impersonation_scam,call,en,synthetic_reviewed_realworld_pattern
