text,authority_impersonation,urgency,fear_or_threat,secrecy,isolation,payment_request,otp_request,credential_request,remote_access_request,screen_share_request,upi_collect_request,source
"This is Inspector Rao from Central Crime Branch. An FIR has been registered against you for money laundering. You are in immediate digital custody. Keep your webcam on, do not call your family or disconnected the call, and transfer Rs 50,000 security deposit to demo_payment@invalid immediately.",1,1,1,1,1,1,0,0,0,0,1,synthetic_reviewed
Example Bank alert: Suspicious device logged in. Call +91 00000 00000 urgently and install RemoteAssistDemo app to verify your identity. Open the app and share the 9-digit screen code with our agent to prevent complete account freeze.,1,1,1,0,0,0,0,0,1,1,0,synthetic_reviewed
"Congratulations! You won Rs 20,000 cashback from Example Bank rewards. To claim money into your bank account, approve the UPI collect request sent to your GooglePay/PhonePe and enter your secret UPI PIN.",1,1,0,0,0,0,0,0,0,0,1,synthetic_reviewed
"Dear Customer, your electricity power connection will be permanently disconnected tonight at 9:30 PM due to unpaid previous month bill. Contact electricity verification officer at +91 00000 00000 or pay via demo_payment@invalid immediately.",1,1,1,0,0,1,0,0,0,0,0,synthetic_reviewed
"Dear User, your netbanking password has expired. Click http://invalid.example/reset-password to enter your username, password, and the 6-digit OTP sent to your phone to reactivate your debit card.",1,1,1,0,0,0,1,1,0,0,0,synthetic_reviewed
"Confidential VIP Trading Group: 500% guaranteed returns within 3 days. Do not share this private WhatsApp invite link with anyone outside. Deposit initial capital of Rs 10,000 to demo_payment@invalid today.",0,1,0,1,1,1,0,0,0,0,1,synthetic_reviewed
"Dear Customer, your account ending in 4492 has been credited with Rs 5,000 via NEFT. Available balance is Rs 12,400. Thank you for banking with Example Bank.",0,0,0,0,0,0,0,0,0,0,0,synthetic_reviewed
772184 is your OTP for transaction at Demo Store. Do not share OTP with anyone. Example Bank will never call asking for this OTP.,0,0,0,0,0,0,0,0,0,0,0,synthetic_reviewed
"This is Inspector Rao from Central Crime Branch. An FIR has been registered against you for money laundering. You are in immediate digital custody. Keep your webcam on, do not call your family or disconnected the call, and transfer Rs 50,000 security deposit to demo_payment@invalid immediately. Case Study Ref #4008.",1,1,1,1,1,1,0,0,0,0,1,synthetic_reviewed
Example Bank alert: Suspicious device logged in. Call +91 00000 00000 urgently and install RemoteAssistDemo app to verify your identity. Open the app and share the 9-digit screen code with our agent to prevent complete account freeze. Case Study Ref #4009.,1,1,1,0,0,0,0,0,1,1,0,synthetic_reviewed
"Congratulations! You won Rs 20,000 cashback from Example Bank rewards. To claim money into your bank account, approve the UPI collect request sent to your GooglePay/PhonePe and enter your secret UPI PIN. Case Study Ref #4010.",1,1,0,0,0,0,0,0,0,0,1,synthetic_reviewed
