text,label,channel,language,source,actual_binary_label,suspicious_probability,selected_threshold,predicted_binary_label,safety_level,correct
Your savings account has unusual activity. Please verify using the official Example Bank app only. We will never ask for your PIN or OTP.,legitimate,sms,en,challenge_set,legitimate,0.26390725467848486,0.4,legitimate,no_strong_risk_signal,True
Your electricity payment receipt is ready. Sign in through the official utility application to view it.,legitimate,sms,en,challenge_set,legitimate,0.2810142567885409,0.4,legitimate,no_strong_risk_signal,True
Your delivery has reached the local hub. Track it through the Sample Courier mobile app.,legitimate,sms,en,challenge_set,legitimate,0.3990640445819148,0.4,legitimate,uncertain_needs_verification,True
Your examination hall ticket can be downloaded from the official Demo College student portal.,legitimate,email,en,challenge_set,legitimate,0.24233314532780909,0.4,legitimate,no_strong_risk_signal,True
"Security notice: Never disclose OTP, UPI PIN, passwords, or card details to anyone claiming to help you.",legitimate,sms,en,challenge_set,legitimate,0.38320060494842934,0.4,legitimate,uncertain_needs_verification,True
ನಿಮ್ಮ ಬ್ಯಾಂಕ್ ಸ್ಟೇಟ್ಮೆಂಟ್ ಅಧಿಕೃತ ಅಪ್ಲಿಕೇಶನ್‌ನಲ್ಲಿ ಲಭ್ಯವಿದೆ. OTP ಅನ್ನು ಯಾರೊಂದಿಗೂ ಹಂಚಿಕೊಳ್ಳಬೇಡಿ.,legitimate,sms,kn,challenge_set,legitimate,0.3072828949545656,0.4,legitimate,uncertain_needs_verification,True
Your Example Bank profile needs verification. Reply with the code sent to your phone to avoid account closure.,payment_or_credential_scam,sms,en,challenge_set,suspicious,0.7436320279934424,0.4,suspicious,suspicious_needs_verification,True
Your account access will end this evening. Share the verification code now to keep it active.,payment_or_credential_scam,call,en,challenge_set,suspicious,0.6301196101744937,0.4,suspicious,suspicious_needs_verification,True
Please provide your login password so our support team can restore your account.,payment_or_credential_scam,call,en,challenge_set,suspicious,0.5973504236045574,0.4,suspicious,suspicious_needs_verification,True
Your KYC review failed. Tell us the code received on your device to complete the process.,payment_or_credential_scam,whatsapp,en,challenge_set,suspicious,0.7329746487485983,0.4,suspicious,suspicious_needs_verification,True
Aapka account verification pending hai. Abhi code bataiye warna service band ho jayegi.,payment_or_credential_scam,call,hinglish,challenge_set,suspicious,0.6749406386103188,0.4,suspicious,suspicious_needs_verification,True
An investigation has been opened in your name. Remain connected while we complete the verification procedure.,authority_impersonation_scam,call,en,challenge_set,suspicious,0.5602107259834066,0.4,suspicious,suspicious_needs_verification,True
Your identity document has been connected to a legal complaint. Move funds for temporary verification.,authority_impersonation_scam,call,en,challenge_set,suspicious,0.6927198390092493,0.4,suspicious,suspicious_needs_verification,True
This is Sample Cyber Office. You must stay on the call while your case is reviewed.,authority_impersonation_scam,call,en,challenge_set,suspicious,0.7185769800933635,0.4,suspicious,suspicious_needs_verification,True
Aapke naam par case register hua hai. Call disconnect mat kijiye aur kisi ko mat batayiye.,authority_impersonation_scam,call,hinglish,challenge_set,suspicious,0.6010157634931563,0.4,suspicious,suspicious_needs_verification,True
ನಿಮ್ಮ ಗುರುತಿನ ದಾಖಲೆ ತಪ್ಪಾಗಿ ಬಳಸಲಾಗಿದೆ. ಕರೆ ಕಡಿತಗೊಳಿಸಬೇಡಿ.,authority_impersonation_scam,call,kn,challenge_set,suspicious,0.5011243820143018,0.4,suspicious,suspicious_needs_verification,True
Download ScreenHelpDemo so I can inspect the error in your payment application.,remote_access_scam,call,en,challenge_set,suspicious,0.5198244272028303,0.4,suspicious,suspicious_needs_verification,True
Open SupportDemo and allow it to view your display so I can fix the transaction issue.,remote_access_scam,call,en,challenge_set,suspicious,0.5949514915352979,0.4,suspicious,suspicious_needs_verification,True
Install RemoteAssistDemo from the link I sent to complete account support.,remote_access_scam,whatsapp,en,challenge_set,suspicious,0.743010205390237,0.4,suspicious,suspicious_needs_verification,True
Please activate the accessibility feature in SupportDemo so our agent can guide you.,remote_access_scam,call,en,challenge_set,suspicious,0.5778670173490629,0.4,suspicious,suspicious_needs_verification,True
"Your refund of ₹2,000 is pending. Scan the code and enter your UPI PIN to receive it.",UPI_QR_scam,sms,en,challenge_set,suspicious,0.7749970894386836,0.4,suspicious,suspicious_needs_verification,True
Accept the payment collection request to claim your reward amount.,UPI_QR_scam,whatsapp,en,challenge_set,suspicious,0.8100131155989794,0.4,suspicious,high_risk,True
Use this QR image for refund verification and approve the payment request.,UPI_QR_scam,sms,en,challenge_set,suspicious,0.7345965806967168,0.4,suspicious,suspicious_needs_verification,True
Cashback is waiting. Open the QR payment request and confirm it immediately.,UPI_QR_scam,whatsapp,en,challenge_set,suspicious,0.6390162574740139,0.4,suspicious,suspicious_needs_verification,True
Your scholarship benefit is approved. Submit a small processing amount to activate the release.,fake_payment_scam,whatsapp,en,challenge_set,suspicious,0.7004422784297372,0.4,suspicious,suspicious_needs_verification,True
Your parcel is held for an additional handling payment. Pay the service amount now.,fake_payment_scam,sms,en,challenge_set,suspicious,0.5635910497769955,0.4,suspicious,suspicious_needs_verification,True
Complete the registration payment now to unlock your selected internship offer.,fake_payment_scam,email,en,challenge_set,suspicious,0.6145415393197702,0.4,suspicious,suspicious_needs_verification,True
Pay the document-verification charge before the stated deadline to receive your grant.,fake_payment_scam,whatsapp,en,challenge_set,suspicious,0.7466315469049667,0.4,suspicious,suspicious_needs_verification,True
