text,label,channel,language,source
"Sir, I am buying your sofa listed on classifieds. I have sent an advance of Rs 15,000 to your GooglePay/PhonePe. Click on the notification and enter your 6-digit UPI PIN to receive the money into your account.",UPI_QR_scam,sms,en,synthetic_reviewed
"Bhaiya, main OLX buyer hoon. Aapko advance payment Rs 8,000 bhej raha hoon. Aapke UPI app par ek request aayi hai, apna UPI PIN daaliye aur paisa account me credit ho jayega.",UPI_QR_scam,whatsapp,hi-en,synthetic_reviewed
"Nimma product na purchase madthidene. Advance Rs 5,000 transfer madlikke link kalsidini. UPI PIN enter madi money receive madi.",UPI_QR_scam,whatsapp,kn-en,synthetic_reviewed
"Example Bank Alert: You have received a cash prize of Rs 25,000. Scan this dynamic QR code and enter your confidential UPI PIN to credit funds to your bank account immediately.",UPI_QR_scam,qr,en,synthetic_reviewed
"Aapko Example Bank lottery me Rs 50,000 mila hai. Ye QR code scan kijiye aur apna UPI PIN enter karke cashback receive kijiye.",UPI_QR_scam,qr,hi-en,synthetic_reviewed
"Payment Successful! Rs 18,500 transferred to your shop via Paytm/PhonePe. Transaction ID: TXN998822. Please hand over the electronics items to our driver immediately.",fake_payment_scam,sms,en,synthetic_reviewed
"Dukandar bhaiya, maine Google Pay se Rs 4,500 bhej diya hai. Screenshot dekh lijiye 'Payment Approved to Merchant'. Server slow hai isliye message thodi der me aayega, saaman pack karke de dijiye.",fake_payment_scam,call,hi-en,synthetic_reviewed
"Payment credited: Rs 12,000 sent from Example Bank to test_merchant@invalid. Reference No: REF0019284. Show this receipt to shopkeeper.",fake_payment_scam,sms,en,synthetic_reviewed
"Nimma account ge Rs 7,000 Google Pay inda send madidini. Screenshot nodi, goods release madi bega.",fake_payment_scam,whatsapp,kn-en,synthetic_reviewed
"Dear Merchant, Rs 9,200 has been debited from buyer and held in escrow by Test Telecom Pay. Dispatched courier will confirm release.",fake_payment_scam,sms,en,synthetic_reviewed
"URGENT: Your Example Bank debit card has been blocked due to suspicious activity. Click http://invalid.example/reactivate-card and submit your 16-digit card number, CVV, and net banking password to restore access.",payment_or_credential_scam,sms,en,synthetic_reviewed
"Aapka Example Bank account KYC expire ho gaya hai. 24 ghante me account band ho jayega. Turant http://invalid.example/kyc-update par jakar apna Aadhaar, PAN aur OTP verify karein.",payment_or_credential_scam,sms,hi-en,synthetic_reviewed
"Dear Customer, congratulations! You have been approved for a pre-approved loan of Rs 5,00,000 at 0% interest. Enter your bank account login credentials and OTP at http://invalid.example/instant-loan to claim.",payment_or_credential_scam,sms,en,synthetic_reviewed
Nimma Example Bank account block agide. Unblock madoke http://invalid.example/bank-unblock link open madi netbanking password enter madi.,payment_or_credential_scam,sms,kn-en,synthetic_reviewed
"Refund Notification: An overcharged amount of Rs 3,450 is pending for your utility bill. Claim refund to your UPI ID demo_refund@invalid by providing your card details at http://invalid.example/utility-refund.",payment_or_credential_scam,email,en,synthetic_reviewed
"Sir, I am buying your sofa listed on classifieds. I have sent an advance of Rs 15,000 to your GooglePay/PhonePe. Click on the notification and enter your 6-digit UPI PIN to receive the money into your account. Batch Token #2015.",UPI_QR_scam,sms,en,synthetic_reviewed
"Bhaiya, main OLX buyer hoon. Aapko advance payment Rs 8,000 bhej raha hoon. Aapke UPI app par ek request aayi hai, apna UPI PIN daaliye aur paisa account me credit ho jayega. Batch Token #2016.",UPI_QR_scam,whatsapp,hi-en,synthetic_reviewed
"Nimma product na purchase madthidene. Advance Rs 5,000 transfer madlikke link kalsidini. UPI PIN enter madi money receive madi. Batch Token #2017.",UPI_QR_scam,whatsapp,kn-en,synthetic_reviewed
"Example Bank Alert: You have received a cash prize of Rs 25,000. Scan this dynamic QR code and enter your confidential UPI PIN to credit funds to your bank account immediately. Batch Token #2018.",UPI_QR_scam,qr,en,synthetic_reviewed
"Aapko Example Bank lottery me Rs 50,000 mila hai. Ye QR code scan kijiye aur apna UPI PIN enter karke cashback receive kijiye. Batch Token #2019.",UPI_QR_scam,qr,hi-en,synthetic_reviewed
"Payment Successful! Rs 18,500 transferred to your shop via Paytm/PhonePe. Transaction ID: TXN998822. Please hand over the electronics items to our driver immediately. Batch Token #2020.",fake_payment_scam,sms,en,synthetic_reviewed
"Dukandar bhaiya, maine Google Pay se Rs 4,500 bhej diya hai. Screenshot dekh lijiye 'Payment Approved to Merchant'. Server slow hai isliye message thodi der me aayega, saaman pack karke de dijiye. Batch Token #2021.",fake_payment_scam,call,hi-en,synthetic_reviewed
"Payment credited: Rs 12,000 sent from Example Bank to test_merchant@invalid. Reference No: REF0019284. Show this receipt to shopkeeper. Batch Token #2022.",fake_payment_scam,sms,en,synthetic_reviewed
"Nimma account ge Rs 7,000 Google Pay inda send madidini. Screenshot nodi, goods release madi bega. Batch Token #2023.",fake_payment_scam,whatsapp,kn-en,synthetic_reviewed
"Dear Merchant, Rs 9,200 has been debited from buyer and held in escrow by Test Telecom Pay. Dispatched courier will confirm release. Batch Token #2024.",fake_payment_scam,sms,en,synthetic_reviewed
"URGENT: Your Example Bank debit card has been blocked due to suspicious activity. Click http://invalid.example/reactivate-card and submit your 16-digit card number, CVV, and net banking password to restore access. Batch Token #2025.",payment_or_credential_scam,sms,en,synthetic_reviewed
"Aapka Example Bank account KYC expire ho gaya hai. 24 ghante me account band ho jayega. Turant http://invalid.example/kyc-update par jakar apna Aadhaar, PAN aur OTP verify karein. Batch Token #2026.",payment_or_credential_scam,sms,hi-en,synthetic_reviewed
"Dear Customer, congratulations! You have been approved for a pre-approved loan of Rs 5,00,000 at 0% interest. Enter your bank account login credentials and OTP at http://invalid.example/instant-loan to claim. Batch Token #2027.",payment_or_credential_scam,sms,en,synthetic_reviewed
