text,label,channel,language,source,expected_binary_label,predicted_binary_label,prediction_confidence,correct
Your savings account has unusual activity. Please verify using the official Example Bank app only. We will never ask for your PIN or OTP.,legitimate,sms,en,challenge_set,legitimate,legitimate,0.6253419378079306,True
Your electricity payment receipt is ready. Sign in through the official utility application to view it.,legitimate,sms,en,challenge_set,legitimate,legitimate,0.5498999919568182,True
Your delivery has reached the local hub. Track it through the Sample Courier mobile app.,legitimate,sms,en,challenge_set,legitimate,suspicious,0.5315149466216823,False
Your examination hall ticket can be downloaded from the official Demo College student portal.,legitimate,email,en,challenge_set,legitimate,legitimate,0.646152848013023,True
"Security notice: Never disclose OTP, UPI PIN, passwords, or card details to anyone claiming to help you.",legitimate,sms,en,challenge_set,legitimate,suspicious,0.5360716386331845,False
ನಿಮ್ಮ ಬ್ಯಾಂಕ್ ಸ್ಟೇಟ್ಮೆಂಟ್ ಅಧಿಕೃತ ಅಪ್ಲಿಕೇಶನ್‌ನಲ್ಲಿ ಲಭ್ಯವಿದೆ. OTP ಅನ್ನು ಯಾರೊಂದಿಗೂ ಹಂಚಿಕೊಳ್ಳಬೇಡಿ.,legitimate,sms,kn,challenge_set,legitimate,legitimate,0.6706093438657166,True
Your Example Bank profile needs verification. Reply with the code sent to your phone to avoid account closure.,payment_or_credential_scam,sms,en,challenge_set,suspicious,suspicious,0.5359679071077861,True
Your account access will end this evening. Share the verification code now to keep it active.,payment_or_credential_scam,call,en,challenge_set,suspicious,suspicious,0.5832237955057342,True
Please provide your login password so our support team can restore your account.,payment_or_credential_scam,call,en,challenge_set,suspicious,suspicious,0.6210666078764852,True
Your KYC review failed. Tell us the code received on your device to complete the process.,payment_or_credential_scam,whatsapp,en,challenge_set,suspicious,suspicious,0.5847956729433348,True
Aapka account verification pending hai. Abhi code bataiye warna service band ho jayegi.,payment_or_credential_scam,call,hinglish,challenge_set,suspicious,suspicious,0.6894308200190394,True
An investigation has been opened in your name. Remain connected while we complete the verification procedure.,authority_impersonation_scam,call,en,challenge_set,suspicious,suspicious,0.5488946531919425,True
Your identity document has been connected to a legal complaint. Move funds for temporary verification.,authority_impersonation_scam,call,en,challenge_set,suspicious,suspicious,0.5692247192327458,True
This is Sample Cyber Office. You must stay on the call while your case is reviewed.,authority_impersonation_scam,call,en,challenge_set,suspicious,suspicious,0.6498177426428897,True
Aapke naam par case register hua hai. Call disconnect mat kijiye aur kisi ko mat batayiye.,authority_impersonation_scam,call,hinglish,challenge_set,suspicious,suspicious,0.7402080756480506,True
ನಿಮ್ಮ ಗುರುತಿನ ದಾಖಲೆ ತಪ್ಪಾಗಿ ಬಳಸಲಾಗಿದೆ. ಕರೆ ಕಡಿತಗೊಳಿಸಬೇಡಿ.,authority_impersonation_scam,call,kn,challenge_set,suspicious,suspicious,0.5799356001062761,True
Download ScreenHelpDemo so I can inspect the error in your payment application.,remote_access_scam,call,en,challenge_set,suspicious,suspicious,0.5480113208806177,True
Open SupportDemo and allow it to view your display so I can fix the transaction issue.,remote_access_scam,call,en,challenge_set,suspicious,suspicious,0.6245221745618281,True
Install RemoteAssistDemo from the link I sent to complete account support.,remote_access_scam,whatsapp,en,challenge_set,suspicious,suspicious,0.6203061239545412,True
Please activate the accessibility feature in SupportDemo so our agent can guide you.,remote_access_scam,call,en,challenge_set,suspicious,suspicious,0.6511081609244497,True
"Your refund of ₹2,000 is pending. Scan the code and enter your UPI PIN to receive it.",UPI_QR_scam,sms,en,challenge_set,suspicious,suspicious,0.7073398908726908,True
Accept the payment collection request to claim your reward amount.,UPI_QR_scam,whatsapp,en,challenge_set,suspicious,suspicious,0.6333957670273271,True
Use this QR image for refund verification and approve the payment request.,UPI_QR_scam,sms,en,challenge_set,suspicious,suspicious,0.5268247753789138,True
Cashback is waiting. Open the QR payment request and confirm it immediately.,UPI_QR_scam,whatsapp,en,challenge_set,suspicious,suspicious,0.6222517308209569,True
Your scholarship benefit is approved. Submit a small processing amount to activate the release.,fake_payment_scam,whatsapp,en,challenge_set,suspicious,suspicious,0.5761368286226323,True
Your parcel is held for an additional handling payment. Pay the service amount now.,fake_payment_scam,sms,en,challenge_set,suspicious,suspicious,0.5610142625255357,True
Complete the registration payment now to unlock your selected internship offer.,fake_payment_scam,email,en,challenge_set,suspicious,suspicious,0.5471619341758786,True
Pay the document-verification charge before the stated deadline to receive your grant.,fake_payment_scam,whatsapp,en,challenge_set,suspicious,suspicious,0.6304728317510714,True
