text,label,channel,language,source
ನಿಮ್ಮ ಖಾತೆ ಪರಿಶೀಲನೆಗೆ OTP ಹಂಚಿಕೊಳ್ಳಿ ಎಂದು ಕರೆ ಮಾಡಿದವರು ಕೇಳುತ್ತಿದ್ದಾರೆ.,authority_impersonation_scam,call,kn,synthetic_reviewed_v4_kannada_suspicious
ನಿಮ್ಮ ಗುರುತಿನ ವಿವರ ದುರುಪಯೋಗವಾಗಿದೆ ಎಂದು ಹೇಳಿ ಕರೆ ಕಡಿತಗೊಳಿಸಬೇಡಿ ಎಂದು ಒತ್ತಾಯಿಸುತ್ತಿದ್ದಾರೆ.,authority_impersonation_scam,call,kn,synthetic_reviewed_v4_kannada_suspicious
ಖಾತೆ ಮುಚ್ಚದಂತೆ ತಡೆಯಲು ತಕ್ಷಣ UPI ಪಿನ್ ನಮೂದಿಸಿ ಎಂದು ಸಂದೇಶ ಬಂದಿದೆ.,authority_impersonation_scam,call,kn,synthetic_reviewed_v4_kannada_suspicious
ಹಣ ಮರುಪಾವತಿ ಪಡೆಯಲು QR ಕೋಡ್ ಸ್ಕ್ಯಾನ್ ಮಾಡಿ ಎಂದು ಹೇಳಲಾಗಿದೆ.,authority_impersonation_scam,call,kn,synthetic_reviewed_v4_kannada_suspicious
ಪಾವತಿ ಸಮಸ್ಯೆ ಸರಿಪಡಿಸಲು ScreenHelpDemo ಸ್ಥಾಪಿಸಿ ಎಂದು ಕರೆ ಮಾಡಿದವರು ಹೇಳಿದ್ದಾರೆ.,authority_impersonation_scam,call,kn,synthetic_reviewed_v4_kannada_suspicious
ಪರಿಶೀಲನೆಗಾಗಿ ನಿಮ್ಮ ಮೊಬೈಲ್ ಪರದೆ ಹಂಚಿಕೊಳ್ಳಿ ಎಂದು ಬೆಂಬಲ ತಂಡವೆಂದು ಹೇಳುವವರು ಕೇಳಿದ್ದಾರೆ.,authority_impersonation_scam,call,kn,synthetic_reviewed_v4_kannada_suspicious
ನಿಮ್ಮ ದಾಖಲೆಯ ಮೇಲೆ ಪ್ರಕರಣ ಇದೆ ಎಂದು ಹೇಳಿ ರಹಸ್ಯವಾಗಿ ಮಾತನಾಡಲು ಒತ್ತಾಯಿಸುತ್ತಿದ್ದಾರೆ.,authority_impersonation_scam,call,kn,synthetic_reviewed_v4_kannada_suspicious
ಬಹುಮಾನ ಪಡೆಯಲು ಮೊದಲು ಸಣ್ಣ ಶುಲ್ಕ ಪಾವತಿಸಿ ಎಂದು ಸಂದೇಶ ಬಂದಿದೆ.,authority_impersonation_scam,call,kn,synthetic_reviewed_v4_kannada_suspicious
ನಿಮ್ಮ KYC ತಕ್ಷಣ ಮುಗಿಸಲು ಪಾಸ್‌ವರ್ಡ್ ತಿಳಿಸಿ ಎಂದು ಕರೆ ಬಂದಿದೆ.,authority_impersonation_scam,call,kn,synthetic_reviewed_v4_kannada_suspicious
ಖಾತೆ ಸುರಕ್ಷಿತಗೊಳಿಸಲು accessibility ಅನುಮತಿ ಆನ್ ಮಾಡಿ ಎಂದು ಹೇಳುತ್ತಿದ್ದಾರೆ.,authority_impersonation_scam,call,kn,synthetic_reviewed_v4_kannada_suspicious
