text,label,channel,language,source
123456 is your secret OTP for login to Example Bank NetBanking. Never share your OTP with anyone including bank staff or callers. OTP valid for 5 minutes.,legitimate,sms,en,synthetic_reviewed
"Aapka Example Bank login OTP hai 987654. Yeh OTP kisi ke sath share na karein, na hi kisi caller ko batayein. Bank kabhi bhi OTP nahi mangta.",legitimate,sms,hi-en,synthetic_reviewed
"OTP for your online transaction of Rs 1,499.00 at Demo College bookstore on card ending 4402 is 554321. Do not share OTP with anyone.",legitimate,sms,en,synthetic_reviewed
Nimma Example Bank account login OTP 432109. Ee OTP yaru jothegu share madbedi. Bank yavathoo OTP kelolla.,legitimate,sms,kn-en,synthetic_reviewed
Your OTP for Aadhaar authentication is 881204. Use this to complete your passport verification at the official seva kendra. Valid for 10 minutes.,legitimate,sms,en,synthetic_reviewed
542910 is your One Time Password (OTP) to reset your Example Bank mobile banking password. Do not disclose it to anyone.,legitimate,sms,en,synthetic_reviewed
"Dear Customer, your account XX1209 has been credited with Rs 45,000.00 on 25-Sep-2026 by NEFT/Salary from Employer Corp. Available balance: Rs 78,410.20 - Example Bank.",legitimate,sms,en,synthetic_reviewed
"Example Bank Alert: Rs 350.00 debited from account ending 9012 at Metro Station on 25-Sep. If not done by you, SMS BLOCK to official number or call 1800-000-0000.",legitimate,sms,en,synthetic_reviewed
"Aapke account se Rs 1,200 debit ho gaya hai grocery store par. Balance check karne ke liye Example Bank official app use karein.",legitimate,sms,hi-en,synthetic_reviewed
"Nimma account XX4532 inda Rs 2,500 electricity bill payment successfully debited. Current balance Rs 14,200. Example Bank.",legitimate,sms,kn-en,synthetic_reviewed
"Dear Customer, your monthly statement for Example Bank Savings Account ending in 7721 is now ready in your secure internet banking inbox.",legitimate,email,en,synthetic_reviewed
"Dear Customer, periodic KYC updation is due for your Example Bank account. Kindly visit your nearest home branch with your original Aadhaar and PAN card or update via the official verified Example Bank mobile application. We never ask for passwords.",legitimate,sms,en,synthetic_reviewed
"Priy Grahak, RBI guidelines ke anusar aapka periodic KYC update hona baaki hai. Kripya apni nazdiki Example Bank branch me jakar documents jama karein. Kisi anjaan link par click na karein.",legitimate,sms,hi-en,synthetic_reviewed
